Information listing created by	joaol
Date	06-Dec-2023 23:43:36
Current work part	C:\Users\joaol\OneDrive - Universidade de Lisboa\Ambiente de Trabalho\Ficheiros NX\Malha simétrica\Malha base Q4 eixo\Modelo\model1base_fem1.fem
Node name	DESKTOP-FSDCSN1


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  268                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 489 462 463 490 864 809 866 867
  269                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 490 463 464 491 866 811 868 869
  270                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 491 464 465 492 868 813 870 871
  271                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 492 465 466 467 870 815 817 872
  272                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 493 492 467 468 873 872 820 874
  273                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 493 468 469 494 874 822 875 876
  274                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 494 469 470 495 875 824 877 878
  275                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 495 470 471 496 877 826 879 880
  276                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 496 471 472 473 879 828 831 881
  277                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 496 473 474 497 881 833 882 883
  278                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 497 474 475 498 882 835 884 885
  279                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 498 475 476 499 884 837 886 887
  280                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 499 476 477 500 886 839 888 889
  281                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 500 477 478 501 888 841 890 891
  282                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 501 478 479 480 890 843 846 892
